summary_level,plot,plot_section,plot_section_label,time_label,month_order,month,interval_order,month_start,month_end,species,metric,value,units,n,denominator,ci_low,ci_high,notes
plot_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,NA,interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0; births/new detections: 554
plot_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,NA,interval_survivorship,98.8785046728972,percent,529,535,97.57505198432087,99.58734968699468,Deaths: 6; births/new detections: 1
plot_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,NA,cumulative_deaths,0,count,0,554,NA,NA,Baseline month: April
plot_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,NA,cumulative_deaths,28,count,28,554,NA,NA,Baseline month: April
plot_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,NA,cumulative_survivorship,100,percent,554,554,99.33634923619502,100,Baseline month: April
plot_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,NA,cumulative_survivorship,94.94584837545126,percent,526,554,92.777920382687,96.6156336935243,Baseline month: April
plot_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,NA,outplant_cover,0.0756172916666666,percent_of_plot,554,NA,NA,NA,Total area m2: 0.362963
plot_month,Plot C,all,Plot C,June,3,June,NA,NA,NA,NA,outplant_cover,0.1517986979166666,percent_of_plot,530,NA,NA,NA,Total area m2: 0.728634
species_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,Montastraea cavernosa,species_interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0
species_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,Orbicella annularis,species_interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0
species_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,Orbicella faveolata,species_interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0
species_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,Orbicella franksi,species_interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0
species_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,Porites porites,species_interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0
species_interval,Plot C,all,Plot C,November to April,NA,NA,1,November,April,Unidentified coral,species_interval_survivorship,NA,percent,0,0,NA,NA,Deaths: 0
species_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,Montastraea cavernosa,species_interval_survivorship,99.4047619047619,percent,167,168,96.72831959371155,99.98493101168594,Deaths: 1
species_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,Orbicella annularis,species_interval_survivorship,97.67441860465117,percent,42,43,87.71095172986604,99.94113870684068,Deaths: 1
species_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,Orbicella faveolata,species_interval_survivorship,100,percent,23,23,85.18148710847757,100,Deaths: 0
species_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,Orbicella franksi,species_interval_survivorship,99.15254237288136,percent,117,118,95.36872720948969,99.97854653210739,Deaths: 1
species_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,Porites porites,species_interval_survivorship,98.9010989010989,percent,180,182,96.08696288497485,99.86663981825392,Deaths: 2
species_interval,Plot C,all,Plot C,April to June,NA,NA,2,April,June,Unidentified coral,species_interval_survivorship,0,percent,0,1,0,97.5,Deaths: 1
species_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,Montastraea cavernosa,species_cover_share,21.224408548529738,percent_of_outplant_cover,169,554,NA,NA,Species area m2: 0.077037
species_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,Orbicella annularis,species_cover_share,13.001669591666374,percent_of_outplant_cover,43,554,NA,NA,Species area m2: 0.047191
species_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,Orbicella faveolata,species_cover_share,11.390761592779429,percent_of_outplant_cover,25,554,NA,NA,Species area m2: 0.041344
species_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,Orbicella franksi,species_cover_share,23.609569019431735,percent_of_outplant_cover,124,554,NA,NA,Species area m2: 0.085694
species_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,Porites porites,species_cover_share,30.767185636001468,percent_of_outplant_cover,192,554,NA,NA,Species area m2: 0.111674
species_month,Plot C,all,Plot C,April,2,April,NA,NA,NA,Unidentified coral,species_cover_share,0.006405611591264125,percent_of_outplant_cover,1,554,NA,NA,Species area m2: 2.3e-05
